county,state,avganncount,avgdeathsperyear,popest2015,medincome,binnedinc,medianage,medianagemale,medianagefemale,pcths25_over,pctbachdeg25_over,pctemployed16_over,pctunemployed16_over,pctprivatecoverage,pctpubliccoverage,povertypercent,studypercap
Kitsap County, Washington,1397.0,469,260131,61898,"(61494.5, 125635]",39.3,36.9,41.7,23.2,19.6,51.9,8.0,75.1,32.9,11.2,499.7482038
Kittitas County, Washington,173.0,70,43269,48127,"(48021.6, 51046.4]",33.0,32.2,33.7,26.0,22.7,55.9,7.8,70.2,31.1,18.6,23.11123437
Klickitat County, Washington,102.0,50,21026,49348,"(48021.6, 51046.4]",45.0,44.0,45.8,29.0,16.0,45.9,7.0,63.7,42.1,14.6,47.56016361
Lewis County, Washington,427.0,202,75882,44243,"(42724.4, 45201]",42.8,42.2,43.4,31.6,9.3,48.3,12.1,58.4,45.3,17.1,342.6372526
Lincoln County, Washington,57.0,26,10321,49955,"(48021.6, 51046.4]",48.3,47.8,48.9,33.4,15.0,48.2,4.8,61.6,44.0,12.5,0.0
Mason County, Washington,428.0,152,61023,52313,"(51046.4, 54545.6]",45.4,43.5,48.0,30.4,11.9,44.1,12.9,60.0,43.2,15.6,180.259902
Okanogan County, Washington,250.0,97,41516,37782,"(37413.8, 40362.7]",42.6,42.2,43.5,29.8,11.9,51.8,8.9,49.5,46.4,23.2,0.0
Pacific County, Washington,146.0,71,20848,40189,"(37413.8, 40362.7]",51.7,50.8,52.5,31.6,11.3,40.9,8.9,55.8,50.9,17.8,0.0
Pend Oreille County, Washington,88.0,36,13088,42579,"(40362.7, 42724.4]",49.3,48.4,49.8,32.2,12.0,39.5,10.3,55.5,48.1,22.3,0.0
Pierce County, Washington,4025.0,1380,843954,60397,"(54545.6, 61494.5]",35.8,34.7,37.0,28.8,16.2,56.6,9.2,69.9,31.4,13.1,427.7484318
San Juan County, Washington,113.0,36,16252,54721,"(54545.6, 61494.5]",54.4,54.0,54.6,17.2,26.2,54.6,5.9,67.2,41.6,12.7,0.0
Skagit County, Washington,740.0,269,121846,51395,"(51046.4, 54545.6]",41.0,40.0,42.2,26.7,15.9,,8.2,64.4,38.1,15.7,837.1222691
Skamania County, Washington,55.0,26,11339,52673,"(51046.4, 54545.6]",45.2,44.9,45.5,29.2,14.2,51.5,8.3,64.4,36.1,12.6,0.0
Snohomish County, Washington,3438.0,1118,772501,71890,"(61494.5, 125635]",37.6,36.6,38.7,24.3,20.9,62.1,7.5,73.3,25.9,9.9,138.51114760000002
Spokane County, Washington,2265.0,901,490945,50083,"(48021.6, 51046.4]",37.2,35.7,38.7,25.7,18.1,55.1,8.4,65.2,36.5,16.3,462.37358560000007
Stevens County, Washington,251.0,106,43791,43823,"(42724.4, 45201]",46.2,45.6,46.8,34.4,10.7,46.3,9.4,58.3,45.8,19.3,0.0
Thurston County, Washington,1390.0,483,269536,61653,"(61494.5, 125635]",38.5,37.1,39.9,22.7,20.3,56.5,8.5,74.5,30.7,11.9,207.7644545
Wahkiakum County, Washington,32.0,12,4042,51022,"(48021.6, 51046.4]",52.1,51.5,53.1,33.1,10.1,35.7,10.6,64.7,49.7,13.9,0.0
Walla Walla County, Washington,305.0,120,60338,49819,"(48021.6, 51046.4]",36.9,35.5,39.1,22.6,16.4,54.5,6.4,65.7,38.0,15.7,464.05250419999993
Whatcom County, Washington,1081.0,367,212284,53733,"(51046.4, 54545.6]",36.5,35.6,37.5,23.0,21.3,57.8,8.2,68.7,31.9,15.7,249.6655424
Whitman County, Washington,134.0,50,48177,41837,"(40362.7, 42724.4]",24.2,24.4,23.9,17.4,25.7,53.4,8.8,78.3,22.9,28.4,0.0
Yakima County, Washington,958.0,403,248830,44342,"(42724.4, 45201]",32.5,31.6,33.6,27.8,9.8,56.0,9.0,54.6,35.7,20.5,301.4106016
Barbour County, West Virginia,94.0,41,16704,35615,"(34218.1, 37413.8]",41.5,40.9,42.1,47.1,7.9,46.5,9.0,55.6,44.8,21.5,0.0
Berkeley County, West Virginia,499.0,215,111901,56737,"(54545.6, 61494.5]",38.4,38.0,38.6,38.2,12.7,58.7,9.7,70.0,33.1,13.2,89.3647063
Boone County, West Virginia,152.0,70,23372,37625,"(37413.8, 40362.7]",41.9,41.2,43.2,49.4,5.4,39.5,9.2,60.2,46.3,22.1,0.0
Braxton County, West Virginia,80.0,40,14415,33817,"[22640, 34218.1]",44.5,43.7,45.3,49.1,8.5,44.3,14.4,56.1,43.4,22.2,0.0
Brooke County, West Virginia,164.0,69,23350,43572,"(42724.4, 45201]",45.9,44.1,48.0,43.7,11.0,51.9,6.4,68.3,39.7,15.1,0.0
Cabell County, West Virginia,564.0,237,96844,34887,"(34218.1, 37413.8]",38.5,36.9,39.9,31.9,14.8,50.3,6.8,63.3,39.0,21.9,330.4283177
Calhoun County, West Virginia,50.0,25,7470,32162,"[22640, 34218.1]",47.0,47.6,46.5,48.9,7.6,39.9,18.1,52.4,46.0,21.8,0.0
Clay County, West Virginia,70.0,26,8910,32961,"[22640, 34218.1]",43.3,43.4,43.3,49.1,5.8,39.6,12.3,48.7,52.0,25.1,4938.271605
Doddridge County, West Virginia,25.0,19,8176,41838,"(40362.7, 42724.4]",43.7,41.8,45.5,44.3,8.8,41.0,6.5,55.2,45.2,17.4,0.0
Fayette County, West Virginia,280.0,137,44997,36739,"(34218.1, 37413.8]",43.2,42.0,45.1,44.4,8.4,42.6,9.2,53.4,47.8,21.4,0.0
Gilmer County, West Virginia,45.0,21,8518,32705,"[22640, 34218.1]",38.4,37.4,41.2,36.6,9.8,37.1,9.4,61.3,39.0,28.9,0.0
Grant County, West Virginia,58.0,22,11766,41039,"(40362.7, 42724.4]",45.6,45.5,45.7,50.2,7.0,51.3,6.7,65.1,42.4,17.0,0.0
